case_number,date_last_modified,ground,reason,status,date_filed,petition_number
T22-0031,3-7-2022,Fewer housing services,,In-process,2022-02-04 00:00:00.000,15009
T22-0032,3-7-2022,Fewer housing services,,In-process,2022-02-04 00:00:00.000,15010
T22-0030,3-7-2022,Allowable Amount,,In-process,2022-02-03 00:00:00.000,15008
T22-0030,3-7-2022,Notice to Tenants,,In-process,2022-02-03 00:00:00.000,15008
L22-0012,3-7-2022,,,Under review,2022-02-03 00:00:00.000,15007
T22-0029,3-7-2022,Allowable Amount,,In-process,2022-02-02 00:00:00.000,15035
T22-0029,3-7-2022,Notice to Tenants,,In-process,2022-02-02 00:00:00.000,15035
L22-0011,3-7-2022,,Fair Return,In-process,2022-02-01 00:00:00.000,15006
T22-0048,3-10-2022,Rent Initiation,,In-process,2022-02-01 00:00:00.000,15005
T22-0028,2-23-2022,Fewer housing services,,In-process,2022-01-31 00:00:00.000,15003
L22-0007,2-23-2022,,Exemption-Single Family Residence or Condominium -Costa Hawkins,,2022-01-28 00:00:00.000,15002
L22-0009,2-23-2022,,Capital Improvements,In-process,2022-01-28 00:00:00.000,15025
L22-0008,2-23-2022,,Exemption-Single Family Residence or Condominium -Costa Hawkins,In-process,2022-01-28 00:00:00.000,15023
T22-0027,2-23-2022,Allowable Amount,,In-process,2022-01-28 00:00:00.000,15026
T22-0027,2-23-2022,Fewer housing services,,In-process,2022-01-28 00:00:00.000,15026
L22-0006,2-23-2022,,Capital Improvements,In-process,2022-01-25 00:00:00.000,15022
T22-0026,2-23-2022,Fewer housing services,,In-process,2022-01-23 00:00:00.000,14994
T22-0025,2-23-2022,Allowable Amount,,In-process,2022-01-22 00:00:00.000,14993
T22-0025,2-23-2022,Notice to Tenants,,In-process,2022-01-22 00:00:00.000,14993
T22-0025,2-23-2022,Fewer housing services,,In-process,2022-01-22 00:00:00.000,14993
T22-0024,2-23-2022,Allowable Amount,,In-process,2022-01-21 00:00:00.000,15021
T22-0024,2-23-2022,Notice to Tenants,,In-process,2022-01-21 00:00:00.000,15021
T22-0023,2-23-2022,Fewer housing services,,In-process,2022-01-20 00:00:00.000,14992
T22-0022,2-23-2022,Allowable Amount,,In-process,2022-01-18 00:00:00.000,15020
,1-14-2022,,Capital Improvements,Submitted,2022-01-14 00:00:00.000,14990
,1-14-2022,Allowable Amount,,Submitted,2022-01-14 00:00:00.000,14989
,1-14-2022,Notice to Tenants,,Submitted,2022-01-14 00:00:00.000,14989
,1-14-2022,Code Violation,,Submitted,2022-01-14 00:00:00.000,14989
L22-0005,2-16-2022,,Exemption-Single Family Residence or Condominium -Costa Hawkins,In-process,2022-01-14 00:00:00.000,14991
T22-0021,2-16-2022,Allowable Amount,,Action needed,2022-01-12 00:00:00.000,15014
T22-0021,2-16-2022,Notice to Tenants,,Action needed,2022-01-12 00:00:00.000,15014
,1-11-2022,,Exemption-New Construction,Submitted,2022-01-11 00:00:00.000,14987
T22-0020,2-16-2022,Fewer housing services,,In-process,2022-01-11 00:00:00.000,14988
T22-0020,2-16-2022,Contesting an Exemption,,In-process,2022-01-11 00:00:00.000,14988
T22-0019,2-16-2022,Fewer housing services,,In-process,2022-01-10 00:00:00.000,14986
L22-0004,2-16-2022,,Capital Improvements,In-process,2022-01-06 00:00:00.000,14985
L22-0003,1-26-2022,,Exemption-New Construction,In-process,2022-01-05 00:00:00.000,14984
T22-0015,1-26-2022,Allowable Amount,,In-process,2022-01-03 00:00:00.000,15001
T22-0015,1-26-2022,Notice to Tenants,,In-process,2022-01-03 00:00:00.000,15001
T22-0013,1-26-2022,Fewer housing services,,In-process,2022-01-03 00:00:00.000,14999
T22-0014,1-26-2022,Fewer housing services,,In-process,2022-01-03 00:00:00.000,15000
T22-0012,1-26-2022,Fewer housing services,,In-process,2022-01-02 00:00:00.000,14983
T22-0001,1-5-2022,Allowable Amount,,Submitted,2021-12-30 00:00:00.000,14982
T22-0001,1-5-2022,Notice to Tenants,,Submitted,2021-12-30 00:00:00.000,14982
T22-0001,1-5-2022,Code Violation,,Submitted,2021-12-30 00:00:00.000,14982
T22-0001,1-5-2022,Fewer housing services,,Submitted,2021-12-30 00:00:00.000,14982
T22-0001,1-5-2022,Unlawfully charged,,Submitted,2021-12-30 00:00:00.000,14982
T22-0010,1-26-2022,Fewer housing services,,Action needed,2021-12-30 00:00:00.000,14980
T22-0011,1-26-2022,Fewer housing services,,Action needed,2021-12-30 00:00:00.000,14981
T22-0009,1-26-2022,Fewer housing services,,In-process,2021-12-29 00:00:00.000,14998
T22-0018,2-16-2022,Fewer housing services,,In-process,2021-12-29 00:00:00.000,15013
T22-0008,1-25-2022,Allowable Amount,,Action needed,2021-12-29 00:00:00.000,14979
T22-0008,1-25-2022,Notice to Tenants,,Action needed,2021-12-29 00:00:00.000,14979
L22-0002,1-25-2022,,Exemption-Single Family Residence or Condominium -Costa Hawkins,In-process,2021-12-28 00:00:00.000,14997
T22-0005,1-24-2022,Fewer housing services,,In-process,2021-12-28 00:00:00.000,14978
T22-0006,1-25-2022,Allowable Amount,,In-process,2021-12-28 00:00:00.000,14977
T22-0006,1-25-2022,Notice to Tenants,,In-process,2021-12-28 00:00:00.000,14977
T22-0006,1-25-2022,Code Violation,,In-process,2021-12-28 00:00:00.000,14977
T22-0007,1-25-2022,Fewer housing services,,In-process,2021-12-28 00:00:00.000,14976
T22-0006,1-25-2022,Unlawfully charged,,In-process,2021-12-28 00:00:00.000,14977
L21-0066,12-27-2021,,Capital Improvements,In-process,2021-12-27 00:00:00.000,14974
T22-0004,1-24-2022,Fewer housing services,,In-process,2021-12-27 00:00:00.000,14996
L22-0001,1-24-2022,,Exemption-Single Family Residence or Condominium -Costa Hawkins,In-process,2021-12-24 00:00:00.000,14972
T22-0003,1-24-2022,Allowable Amount,,Action needed,2021-12-24 00:00:00.000,14995
T22-0003,1-24-2022,Notice to Tenants,,Action needed,2021-12-24 00:00:00.000,14995
T21-0223,12-27-2021,Fewer housing services,,In-process,2021-12-23 00:00:00.000,14971
L21-0067,12-27-2021,,Exemption-New Construction,Action needed,2021-12-22 00:00:00.000,14975
T21-0222,12-27-2021,Code Violation,,Completed,2021-12-21 00:00:00.000,14968
T21-0221,12-27-2021,Code Violation,,In-process,2021-12-20 00:00:00.000,14967
T21-0221,12-27-2021,Fewer housing services,,In-process,2021-12-20 00:00:00.000,14967
L21-0065,12-27-2021,,Capital Improvements,In-process,2021-12-17 00:00:00.000,14973
L21-0063,12-15-2021,,Capital Improvements,In-process,2021-12-15 00:00:00.000,14965
T21-0219,12-21-2021,,,In-process,2021-12-15 00:00:00.000,14970
T21-0220,12-15-2021,Allowable Amount,,Action needed,2021-12-15 00:00:00.000,14966
T21-0218,12-14-2021,Notice to Tenants,,In-process,2021-12-14 00:00:00.000,14964
T21-0218,12-14-2021,Fewer housing services,,In-process,2021-12-14 00:00:00.000,14964
T21-0217,12-13-2021,Fewer housing services,,In-process,2021-12-13 00:00:00.000,14961
T21-0215,12-21-2021,Fewer housing services,,In-process,2021-12-13 00:00:00.000,14969
,12-10-2021,Fewer housing services,,Submitted,2021-12-10 00:00:00.000,14960
T21-0216,12-10-2021,Fewer housing services,,In-process,2021-12-10 00:00:00.000,14959
T22-0002,1-24-2022,Contesting an Exemption,,In-process,2021-12-07 00:00:00.000,14958
T21-0214,12-5-2021,Allowable Amount,,Action needed,2021-12-05 00:00:00.000,14957
T21-0214,12-5-2021,Notice to Tenants,,Action needed,2021-12-05 00:00:00.000,14957
L21-0062,11-24-2021,,Capital Improvements,Completed,2021-11-24 00:00:00.000,14955
T21-0213,11-22-2021,Fewer housing services,,In-process,2021-11-22 00:00:00.000,14954
L21-0052,11-15-2021,,Banking,Action needed,2021-11-22 00:00:00.000,14937
T21-0212,11-20-2021,Fewer housing services,,In-process,2021-11-20 00:00:00.000,14949
T21-0209,11-19-2021,Fewer housing services,,In-process,2021-11-19 00:00:00.000,14948
T21-0211,11-18-2021,Fewer housing services,,Submitted,2021-11-18 00:00:00.000,14946
T21-0208,11-18-2021,Allowable Amount,,Completed,2021-11-18 00:00:00.000,14947
T21-0208,11-18-2021,Notice to Tenants,,Completed,2021-11-18 00:00:00.000,14947
L21-0061,12-14-2021,,Increased Housing Service Costs,Action needed,2021-11-17 00:00:00.000,14963
L21-0061,12-14-2021,,Capital Improvements,Action needed,2021-11-17 00:00:00.000,14963
L21-0061,12-14-2021,,Uninsured Repair Costs,Action needed,2021-11-17 00:00:00.000,14963
L21-0061,12-14-2021,,Fair Return,Action needed,2021-11-17 00:00:00.000,14963
,11-16-2021,Fewer housing services,,Submitted,2021-11-16 00:00:00.000,14942
T21-0210,11-16-2021,Fewer housing services,,In-process,2021-11-16 00:00:00.000,14941
L21-0060,12-14-2021,,Exemption-Single Family Residence or Condominium -Costa Hawkins,In-process,2021-11-15 00:00:00.000,14962
T21-0207,11-15-2021,Allowable Amount,,In-process,2021-11-15 00:00:00.000,14940
T21-0207,11-15-2021,Notice to Tenants,,In-process,2021-11-15 00:00:00.000,14940
,11-12-2021,,,Submitted,2021-11-12 00:00:00.000,13935
T21-0205,11-10-2021,Allowable Amount,,Completed,2021-11-10 00:00:00.000,13934
T21-0205,11-10-2021,Notice to Tenants,,Completed,2021-11-10 00:00:00.000,13934
T21-0205,11-10-2021,Fewer housing services,,Completed,2021-11-10 00:00:00.000,13934
L21-0059,11-9-2021,,Exemption-Single Family Residence or Condominium -Costa Hawkins,In-process,2021-11-09 00:00:00.000,13932
T21-0204,11-9-2021,Allowable Amount,,In-process,2021-11-09 00:00:00.000,13933
T21-0204,11-9-2021,Notice to Tenants,,In-process,2021-11-09 00:00:00.000,13933
L21-0058,11-9-2021,,Exemption-Single Family Residence or Condominium -Costa Hawkins,Action needed,2021-11-09 00:00:00.000,13931
T21-0203,11-9-2021,Allowable Amount,,Under review,2021-11-09 00:00:00.000,13930
T21-0203,11-9-2021,Code Violation,,Under review,2021-11-09 00:00:00.000,13930
T21-0203,11-9-2021,Fewer housing services,,Under review,2021-11-09 00:00:00.000,13930
,11-8-2021,Allowable Amount,,Submitted,2021-11-08 00:00:00.000,13929
,11-8-2021,Contesting an Exemption,,Submitted,2021-11-08 00:00:00.000,13929
T21-0202,11-8-2021,Allowable Amount,,In-process,2021-11-08 00:00:00.000,13928
T21-0202,11-8-2021,Contesting an Exemption,,In-process,2021-11-08 00:00:00.000,13928
T21-0201,11-5-2021,Allowable Amount,,,2021-11-05 00:00:00.000,13927
T21-0201,11-5-2021,Notice to Tenants,,,2021-11-05 00:00:00.000,13927
T21-0201,11-5-2021,Fewer housing services,,,2021-11-05 00:00:00.000,13927
T21-0201,11-5-2021,Unlawfully charged,,,2021-11-05 00:00:00.000,13927
T21-0200,11-22-2021,Notice to Tenants,,Action needed,2021-11-05 00:00:00.000,14953
T21-0200,11-22-2021,Code Violation,,Action needed,2021-11-05 00:00:00.000,14953
T21-0200,11-22-2021,Fewer housing services,,Action needed,2021-11-05 00:00:00.000,14953
T21-0200,11-22-2021,Unlawfully charged,,Action needed,2021-11-05 00:00:00.000,14953
T21-0200,11-22-2021,Contesting an Exemption,,Action needed,2021-11-05 00:00:00.000,14953
T21-0200,11-22-2021,Rent Initiation,,Action needed,2021-11-05 00:00:00.000,14953
L21-0057,11-22-2021,,Capital Improvements,In-process,2021-11-04 00:00:00.000,14952
L21-0056,11-4-2021,,Exemption-New Construction,In-process,2021-11-04 00:00:00.000,13926
T21-0199,11-22-2021,Allowable Amount,,Action needed,2021-11-04 00:00:00.000,14951
T21-0199,11-22-2021,Notice to Tenants,,Action needed,2021-11-04 00:00:00.000,14951
T21-0198,11-3-2021,Fewer housing services,,Action needed,2021-11-03 00:00:00.000,13925
T21-0197,11-3-2021,Allowable Amount,,Completed,2021-11-03 00:00:00.000,13924
T21-0197,11-3-2021,Fewer housing services,,Completed,2021-11-03 00:00:00.000,13924
T21-0196,11-2-2021,Allowable Amount,,Completed,2021-11-02 00:00:00.000,13923
T21-0206,12-9-2021,,,Submitted,2021-11-01 00:00:00.000,14956
T21-0194,11-22-2021,Notice to Tenants,,In-process,2021-11-01 00:00:00.000,14950
T21-0194,11-22-2021,Fewer housing services,,In-process,2021-11-01 00:00:00.000,14950
T21-0195,11-1-2021,Fewer housing services,,Action needed,2021-11-01 00:00:00.000,13922
T21-0195,11-1-2021,Unlawfully charged,,Action needed,2021-11-01 00:00:00.000,13922
T21-0193,10-28-2021,Allowable Amount,,Action needed,2021-10-28 00:00:00.000,13921
T21-0193,10-28-2021,Notice to Tenants,,Action needed,2021-10-28 00:00:00.000,13921
T21-0192,11-17-2021,Fewer housing services,,Action needed,2021-10-28 00:00:00.000,14945
T21-0191,11-17-2021,Fewer housing services,,In-process,2021-10-27 00:00:00.000,14944
T21-0190,10-27-2021,Fewer housing services,,Completed,2021-10-27 00:00:00.000,13920
L21-0054,10-26-2021,,Capital Improvements,In-process,2021-10-26 00:00:00.000,13919
L21-0055,1-3-2022,,Capital Improvements,Action needed,2021-10-26 00:00:00.000,14943
L21-0053,11-15-2021,,Banking,In-process,2021-10-25 00:00:00.000,14939
T21-0189,10-25-2021,Fewer housing services,,In-process,2021-10-25 00:00:00.000,13916
T21-0188,11-15-2021,Allowable Amount,,In-process,2021-10-22 00:00:00.000,14938
T21-0188,11-15-2021,Notice to Tenants,,In-process,2021-10-22 00:00:00.000,14938
T21-0188,11-15-2021,Fewer housing services,,In-process,2021-10-22 00:00:00.000,14938
L21-0051,11-15-2021,,Banking,Action needed,2021-10-22 00:00:00.000,14936
T21-0187,10-22-2021,Fewer housing services,,Completed,2021-10-22 00:00:00.000,13915
T21-0186,10-20-2021,Code Violation,,In-process,2021-10-20 00:00:00.000,13914
T21-0186,10-20-2021,Fewer housing services,,In-process,2021-10-20 00:00:00.000,13914
T21-0185,10-25-2021,Fewer housing services,,In-process,2021-10-20 00:00:00.000,13917
T21-0183,10-19-2021,Fewer housing services,,In-process,2021-10-19 00:00:00.000,13913
T21-0183,10-19-2021,Unlawfully charged,,In-process,2021-10-19 00:00:00.000,13913
T21-0184,10-19-2021,Allowable Amount,,Action needed,2021-10-19 00:00:00.000,13912
T21-0184,10-19-2021,Notice to Tenants,,Action needed,2021-10-19 00:00:00.000,13912
T21-0182,10-18-2021,,,In-process,2021-10-18 00:00:00.000,13911
T21-0181,10-16-2021,Contesting an Exemption,,Completed,2021-10-16 00:00:00.000,13910
T21-0177,10-12-2021,Fewer housing services,,In-process,2021-10-12 00:00:00.000,13906
T21-0180,10-12-2021,Allowable Amount,,Action needed,2021-10-12 00:00:00.000,13903
T21-0180,10-12-2021,Notice to Tenants,,Action needed,2021-10-12 00:00:00.000,13903
T21-0179,10-12-2021,Fewer housing services,,Action needed,2021-10-12 00:00:00.000,13905
T21-0178,10-12-2021,Fewer housing services,,Completed,2021-10-12 00:00:00.000,13904
T21-0175,10-6-2021,Notice to Tenants,,Action needed,2021-10-06 00:00:00.000,13902
T21-0175,10-6-2021,Fewer housing services,,Action needed,2021-10-06 00:00:00.000,13902
T21-0175,10-6-2021,Contesting an Exemption,,Action needed,2021-10-06 00:00:00.000,13902
T21-0173,10-14-2021,Allowable Amount,,Completed,2021-10-05 00:00:00.000,13907
T21-0173,10-14-2021,Notice to Tenants,,Completed,2021-10-05 00:00:00.000,13907
T21-0173,10-14-2021,Fewer housing services,,Completed,2021-10-05 00:00:00.000,13907
T21-0174,10-5-2021,Code Violation,,Completed,2021-10-05 00:00:00.000,13901
T21-0174,10-5-2021,Fewer housing services,,Completed,2021-10-05 00:00:00.000,13901
T21-0176,10-14-2021,Allowable Amount,,In-process,2021-10-04 00:00:00.000,13908
T21-0176,10-14-2021,Fewer housing services,,In-process,2021-10-04 00:00:00.000,13908
T21-0172,10-4-2021,Fewer housing services,,In-process,2021-10-04 00:00:00.000,13891
L21-0049,10-5-2021,,Capital Improvements,In-process,2021-09-30 00:00:00.000,13900
L21-0050,9-30-2021,,Capital Improvements,Action needed,2021-09-30 00:00:00.000,13889
T21-0171,9-30-2021,Allowable Amount,,Completed,2021-09-30 00:00:00.000,13890
T21-0171,9-30-2021,Notice to Tenants,,Completed,2021-09-30 00:00:00.000,13890
T21-0170,9-29-2021,Allowable Amount,,Completed,2021-09-29 00:00:00.000,13884
T21-0170,9-29-2021,Notice to Tenants,,Completed,2021-09-29 00:00:00.000,13884
T21-0169,10-5-2021,Allowable Amount,,In-process,2021-09-28 00:00:00.000,13896
T21-0169,10-5-2021,Notice to Tenants,,In-process,2021-09-28 00:00:00.000,13896
T21-0169,10-5-2021,Fewer housing services,,In-process,2021-09-28 00:00:00.000,13896
T22-0016,2-10-2022,Fewer housing services,,In-process,2021-09-28 00:00:00.000,13882
T22-0017,2-10-2022,Fewer housing services,,Action needed,2021-09-28 00:00:00.000,13883
L21-0047,9-27-2021,,Exemption-New Construction,In-process,2021-09-27 00:00:00.000,13881
T21-0167,10-4-2021,Allowable Amount,,Action needed,2021-09-27 00:00:00.000,13894
T21-0167,10-4-2021,Notice to Tenants,,Action needed,2021-09-27 00:00:00.000,13894
L21-0048,9-27-2021,,Exemption-New Construction,Completed,2021-09-27 00:00:00.000,13880
T21-0166,10-4-2021,Allowable Amount,,Completed,2021-09-27 00:00:00.000,13893
T21-0166,10-4-2021,Notice to Tenants,,Completed,2021-09-27 00:00:00.000,13893
T21-0168,10-5-2021,Fewer housing services,,Completed,2021-09-27 00:00:00.000,13895
T21-0165,10-4-2021,Allowable Amount,,In-process,2021-09-24 00:00:00.000,13892
T21-0165,10-4-2021,Fewer housing services,,In-process,2021-09-24 00:00:00.000,13892
L21-0046,9-30-2021,,Exemption-Single Family Residence or Condominium -Costa Hawkins,Completed,2021-09-23 00:00:00.000,13887
T21-0163,9-22-2021,Fewer housing services,,,2021-09-22 00:00:00.000,13879
T21-0164,9-30-2021,Fewer housing services,,In-process,2021-09-21 00:00:00.000,13888
T21-0162,9-16-2021,Fewer housing services,,In-process,2021-09-16 00:00:00.000,13878
T21-0159,9-12-2021,Notice to Tenants,,Completed,2021-09-12 00:00:00.000,13873
T21-0159,9-12-2021,Rent Initiation,,Completed,2021-09-12 00:00:00.000,13873
T21-0160,9-30-2021,Fewer housing services,,In-process,2021-09-10 00:00:00.000,13885
T21-0161,9-30-2021,Allowable Amount,,Under review,2021-09-08 00:00:00.000,13886
T21-0161,9-30-2021,Code Violation,,Under review,2021-09-08 00:00:00.000,13886
T21-0161,9-30-2021,Fewer housing services,,Under review,2021-09-08 00:00:00.000,13886
T21-0158,9-7-2021,Fewer housing services,,Completed,2021-09-07 00:00:00.000,13872
T21-0157,9-5-2021,Notice to Tenants,,Completed,2021-09-05 00:00:00.000,13871
T21-0156,9-2-2021,Fewer housing services,,In-process,2021-09-02 00:00:00.000,13870
T21-0156,9-2-2021,Unlawfully charged,,In-process,2021-09-02 00:00:00.000,13870
L21-0045,9-15-2021,,Capital Improvements,In-process,2021-09-01 00:00:00.000,13877
T21-0155,9-15-2021,Notice to Tenants,,Completed,2021-08-30 00:00:00.000,13876
T21-0155,9-15-2021,Unlawfully charged,,Completed,2021-08-30 00:00:00.000,13876
T21-0154,8-27-2021,Fewer housing services,,In-process,2021-08-27 00:00:00.000,13869
T21-0153,8-26-2021,Notice to Tenants,,Completed,2021-08-26 00:00:00.000,13868
T21-0152,8-26-2021,Fewer housing services,,Completed,2021-08-26 00:00:00.000,13867
T21-0153,8-26-2021,Contesting an Exemption,,Completed,2021-08-26 00:00:00.000,13868
T21-0153,8-26-2021,Rent Initiation,,Completed,2021-08-26 00:00:00.000,13868
T21-0150,8-25-2021,Fewer housing services,,Action needed,2021-08-25 00:00:00.000,13866
T21-0151,9-14-2021,Notice to Tenants,,Action needed,2021-08-25 00:00:00.000,13875
T21-0151,9-14-2021,Fewer housing services,,Action needed,2021-08-25 00:00:00.000,13875
T21-0151,9-14-2021,Unlawfully charged,,Action needed,2021-08-25 00:00:00.000,13875
T21-0151,9-14-2021,Rent Initiation,,Action needed,2021-08-25 00:00:00.000,13875
T21-0149,8-24-2021,Allowable Amount,,Completed,2021-08-24 00:00:00.000,13865
T21-0149,8-24-2021,Notice to Tenants,,Completed,2021-08-24 00:00:00.000,13865
T21-0149,8-24-2021,Rent Initiation,,Completed,2021-08-24 00:00:00.000,13865
L21-0064,11-12-2021,,Exemption-New Construction,In-process,2021-08-23 00:00:00.000,13936
L21-0044,8-23-2021,,Exemption-New Construction,Completed,2021-08-23 00:00:00.000,13856
T21-0148,8-18-2021,Fewer housing services,,Completed,2021-08-18 00:00:00.000,13855
T21-0139,8-24-2021,Fewer housing services,,Action needed,2021-08-16 00:00:00.000,13862
L21-0042,8-16-2021,,Exemption-Single Family Residence or Condominium -Costa Hawkins,Completed,2021-08-16 00:00:00.000,13854
L21-0040,8-24-2021,,Exemption-Single Family Residence or Condominium -Costa Hawkins,Completed,2021-08-13 00:00:00.000,13861
T21-0147,8-13-2021,Fewer housing services,,Completed,2021-08-13 00:00:00.000,13853
T21-0140,8-24-2021,Fewer housing services,,Completed,2021-08-13 00:00:00.000,13864
T21-0146,8-11-2021,Fewer housing services,,Completed,2021-08-11 00:00:00.000,13851
T21-0145,8-11-2021,Fewer housing services,,Completed,2021-08-11 00:00:00.000,13852
T21-0144,8-10-2021,Fewer housing services,,In-process,2021-08-10 00:00:00.000,13850
T21-0143,8-9-2021,Fewer housing services,,Completed,2021-08-09 00:00:00.000,13849
M21-0013,8-23-2021,,,Submitted,2021-08-05 00:00:00.000,13860
T21-0142,8-4-2021,Notice to Tenants,,Completed,2021-08-04 00:00:00.000,13846
T21-0142,8-4-2021,Rent Initiation,,Completed,2021-08-04 00:00:00.000,13846
T21-0141,8-2-2021,Fewer housing services,,Completed,2021-08-02 00:00:00.000,13845
T21-0134,8-5-2021,Unlawfully charged,,Completed,2021-07-27 00:00:00.000,13848
L21-0041,8-24-2021,,Capital Improvements,Completed,2021-07-26 00:00:00.000,13863
L21-0039,8-5-2021,,Capital Improvements,Action needed,2021-07-25 00:00:00.000,13847
,7-23-2021,Allowable Amount,,Submitted,2021-07-23 00:00:00.000,13831
,7-23-2021,Allowable Amount,,Submitted,2021-07-23 00:00:00.000,13832
,7-23-2021,Allowable Amount,,Submitted,2021-07-23 00:00:00.000,13834
,7-23-2021,Fewer housing services,,Submitted,2021-07-23 00:00:00.000,13831
,7-23-2021,Fewer housing services,,Submitted,2021-07-23 00:00:00.000,13832
,7-23-2021,Fewer housing services,,Submitted,2021-07-23 00:00:00.000,13834
T21-0133,7-23-2021,Unlawfully charged,,Completed,2021-07-23 00:00:00.000,13835
,7-22-2021,,,Submitted,2021-07-22 00:00:00.000,13830
,7-22-2021,,Exemption-Single Family Residence or Condominium -Costa Hawkins,Submitted,2021-07-22 00:00:00.000,13829
T21-0129,7-28-2021,,,Action needed,2021-07-21 00:00:00.000,13841
M21-0012,8-23-2021,,,Submitted,2021-07-20 00:00:00.000,13859
T21-0132,7-20-2021,Unlawfully charged,,Completed,2021-07-20 00:00:00.000,13827
T21-0131,7-19-2021,Allowable Amount,,Completed,2021-07-19 00:00:00.000,13826
T21-0131,7-19-2021,Notice to Tenants,,Completed,2021-07-19 00:00:00.000,13826
T21-0131,7-19-2021,Fewer housing services,,Completed,2021-07-19 00:00:00.000,13826
T21-0130,7-18-2021,Allowable Amount,,Completed,2021-07-18 00:00:00.000,13825
T21-0128,7-15-2021,Fewer housing services,,In-process,2021-07-15 00:00:00.000,13823
T21-0127,7-15-2021,Unlawfully charged,,Completed,2021-07-15 00:00:00.000,13824
T21-0126,7-28-2021,Fewer housing services,,Action needed,2021-07-14 00:00:00.000,13839
L21-0038,8-2-2021,,Increased Housing Service Costs,Completed,2021-07-14 00:00:00.000,13844
L21-0037,7-28-2021,,Exemption-Single Family Residence or Condominium -Costa Hawkins,Completed,2021-07-14 00:00:00.000,13840
T21-0125,7-28-2021,Allowable Amount,,Completed,2021-07-14 00:00:00.000,13838
T21-0125,7-28-2021,Notice to Tenants,,Completed,2021-07-14 00:00:00.000,13838
T21-0125,7-28-2021,Contesting an Exemption,,Completed,2021-07-14 00:00:00.000,13838
T21-0123,7-12-2021,Fewer housing services,,In-process,2021-07-12 00:00:00.000,13821
T21-0123,7-12-2021,Unlawfully charged,,In-process,2021-07-12 00:00:00.000,13821
